trade_date,template,rank,ts_code,name,industry_code,industry,score
20260729,parabolic_uptrend,20,003004.SZ,声迅股份,801750.SI,计算机,0.9151410364265368
20260729,parabolic_uptrend,21,002463.SZ,沪电股份,801080.SI,电子,0.912487102421973
20260729,parabolic_uptrend,22,301188.SZ,力诺药包,801150.SI,医药生物,0.9117932360670455
20260729,parabolic_uptrend,23,688702.SH,盛科通信,801080.SI,电子,0.9113128230950317
20260729,parabolic_uptrend,24,300502.SZ,新易盛,801770.SI,通信,0.9111515498801356
20260729,parabolic_uptrend,25,603773.SH,沃格光电,801080.SI,电子,0.9095502679982197
20260729,parabolic_uptrend,26,300649.SZ,杭州园林,801720.SI,建筑装饰,0.9078269326661257
20260729,parabolic_uptrend,27,688409.SH,富创精密,801080.SI,电子,0.9073777533459942
20260729,parabolic_uptrend,28,002384.SZ,东山精密,801080.SI,电子,0.9071891432428618
20260729,parabolic_uptrend,29,002552.SZ,宝鼎科技,801890.SI,机械设备,0.9070172908113868
20260729,parabolic_uptrend,30,688072.SH,拓荆科技,801080.SI,电子,0.9061507832713687
20260729,pullback_strengthening,1,301310.SZ,鑫宏业,801880.SI,汽车,0.9469486658700459
20260729,pullback_strengthening,2,688432.SH,有研硅,801080.SI,电子,0.9430036880567619
20260729,pullback_strengthening,3,688361.SH,中科飞测,801080.SI,电子,0.9397306479833996
20260729,pullback_strengthening,4,603259.SH,药明康德,801150.SI,医药生物,0.9394956223380964
20260729,pullback_strengthening,5,002821.SZ,凯莱英,801150.SI,医药生物,0.9345645079165124
20260729,pullback_strengthening,6,002674.SZ,兴业科技,801130.SI,纺织服饰,0.9311807030646183
20260729,pullback_strengthening,7,002303.SZ,美盈森,801140.SI,轻工制造,0.9281992477433088
20260729,pullback_strengthening,8,002141.SZ,贤丰控股,801010.SI,农林牧渔,0.9263221755991495
20260729,pullback_strengthening,9,300506.SZ,名家汇,801720.SI,建筑装饰,0.9246042774384879
20260729,pullback_strengthening,10,001229.SZ,魅视科技,801750.SI,计算机,0.9234763818572983
20260729,pullback_strengthening,11,300558.SZ,贝达药业,801150.SI,医药生物,0.9169411323969404
20260729,pullback_strengthening,12,002653.SZ,海思科,801150.SI,医药生物,0.9169234200173618
