variant,window_bars,rank,ts_code,name,score,window_start,window_end,return_pct,quadratic_coefficient,quadratic_fit_r2,first_half_log_slope_bp_per_bar,second_half_log_slope_bp_per_bar,slope_delta_bp_per_bar,max_drawdown_pct
selected_80,80,71,688019.SH,安集科技,0.7427344091229472,20260402,20260729,32.601396,-0.0320300595,0.639481292,55.575566,54.959081,-0.616485,-34.696133
selected_80,80,72,300951.SZ,博硕科技,0.7420418818074904,20260402,20260729,62.408681,-0.0132579221,0.5284609356,18.352805,5.229753,-13.123053,-39.507018
selected_80,80,73,002185.SZ,华天科技,0.7416332999640687,20260402,20260729,43.625931,-0.2164486945,0.8130424236,129.386785,19.130749,-110.256035,-35.475078
selected_80,80,74,688403.SH,汇成股份,0.7395207248955994,20260402,20260729,52.282382,-0.2306296654,0.7267371677,100.922381,21.037324,-79.885056,-48.983051
selected_80,80,75,688409.SH,富创精密,0.7390051318508489,20260402,20260729,98.896521,-0.2958450662,0.8265797974,179.635644,61.339886,-118.295758,-44.261224
selected_80,80,76,003013.SZ,地铁设计,0.7355933419501092,20260402,20260729,32.559972,-0.0381427692,0.7229556493,34.828044,9.276554,-25.55149,-17.510423
selected_80,80,77,688498.SH,源杰科技,0.7355366496005674,20260402,20260729,72.119825,-0.2581936308,0.8390060134,102.5389,-3.633817,-106.172717,-34.994698
selected_80,80,78,688260.SH,昀冢科技,0.7350468449902892,20260330,20260729,230.014914,-0.6854079912,0.8813622822,319.400597,-55.057497,-374.458094,-54.763889
selected_80,80,79,603669.SH,灵康药业,0.7342956343037906,20260402,20260729,7.216495,0.1785484386,0.5729125063,-31.53708,84.892774,116.429854,-38.717633
selected_80,80,80,603976.SH,正川股份,0.7342284088391664,20260402,20260729,23.149836,-0.0753904004,0.7096809979,35.888719,9.289517,-26.599202,-22.960932
selected_80,80,81,000048.SZ,京基智农,0.7340374220678025,20260402,20260729,-5.480167,0.1552277697,0.5227354232,-57.897937,49.110762,107.008699,-34.551148
selected_80,80,82,603261.SH,立航科技,0.7321174330363865,20260401,20260729,26.619318,0.0933196531,0.5602495706,9.224335,88.083904,78.859569,-28.024476
selected_80,80,83,300843.SZ,胜蓝股份,0.7301164456793379,20260402,20260729,98.310322,-0.2139198172,0.7925955695,142.689199,68.654126,-74.035073,-38.652038
selected_80,80,84,600177.SH,雅戈尔,0.729907129154147,20260402,20260729,5.619796,0.0196338978,0.6429757285,6.034501,19.466297,13.431796,-7.097592
selected_80,80,85,688249.SH,晶合集成,0.7282282569180457,20260402,20260729,36.909279,-0.2163523489,0.7782672076,126.599927,32.988607,-93.61132,-39.135102
selected_80,80,86,002167.SZ,东方锆业,0.7277444572234918,20260402,20260729,29.09699,-0.0047477618,0.5299973539,11.699806,45.245454,33.545648,-41.190019
selected_80,80,87,300285.SZ,国瓷材料,0.7270983217698169,20260402,20260729,96.531798,-0.37075958,0.7610638705,135.188083,-37.937619,-173.125702,-52.704879
selected_80,80,88,688981.SH,中芯国际,0.7258174152171187,20260402,20260729,40.450644,-0.1448586393,0.8355357619,108.422718,40.159956,-68.262763,-24.33526
selected_80,80,89,688266.SH,泽璟制药,0.7244904560042641,20260402,20260729,28.444227,0.2541569518,0.6753110162,1.614738,151.087044,149.472306,-22.063961
selected_80,80,90,600012.SH,皖通高速,0.7223126409316288,20260402,20260729,19.556714,0.0239983848,0.6190172841,27.409258,34.305109,6.895851,-12.272727
selected_80,80,91,688105.SH,诺唯赞,0.7205813247138799,20260402,20260729,19.60012,0.1182431621,0.6049984219,7.162709,83.061561,75.898853,-16.383562
selected_80,80,92,301045.SZ,天禄科技,0.719523156884391,20260402,20260729,48.834398,-0.1592613427,0.7314370939,126.17907,76.752672,-49.426398,-41.824597
selected_80,80,93,002955.SZ,鸿合科技,0.7194249638980795,20260402,20260729,23.621149,0.0315365944,0.5082505062,-18.138003,12.825919,30.963922,-26.744806
selected_80,80,94,301321.SZ,翰博高新,0.7189638083473617,20260402,20260729,69.473684,-0.2397177573,0.8513826503,145.708427,49.000188,-96.708238,-38.934193
selected_80,80,95,300489.SZ,光智科技,0.7177571949825505,20260402,20260729,213.379397,-0.5586850343,0.874592218,272.387278,44.062489,-228.324788,-52.723193
selected_80,80,96,600900.SH,长江电力,0.7176868680254263,20260402,20260729,10.190594,0.0371513859,0.6234803749,8.128302,22.596547,14.468244,-7.2843
selected_80,80,97,688141.SH,杰华特,0.7174664388982479,20260402,20260729,119.872291,-0.2973073804,0.8613208805,171.60462,55.399161,-116.20546,-35.80226
selected_80,80,98,603137.SH,恒尚节能,0.7153445292037197,20260319,20260729,73.814734,0.4949493078,0.7097681948,12.569114,270.615624,258.04651,-34.288121
selected_80,80,99,688046.SH,药康生物,0.7153434349090734,20260402,20260729,63.32967,0.1179638165,0.6097889109,43.965828,127.761158,83.79533,-22.344828
selected_80,80,100,601688.SH,华泰证券,0.7140541223690908,20260402,20260729,13.769752,0.002853203,0.5728966208,1.990784,13.536534,11.545749,-8.51927
original_160,160,1,688146.SH,中船特气,0.9536817808049249,20251126,20260729,662.519039,0.8680791139,0.8965186197,14.469153,275.154747,260.685594,-48.5115
original_160,160,2,002832.SZ,比音勒芬,0.9507150768638818,20251201,20260729,60.207234,0.0896101895,0.9358143593,15.432498,37.797791,22.365292,-8.798486
original_160,160,3,300489.SZ,光智科技,0.9335488302569975,20251201,20260729,266.568699,0.6126909644,0.8806957825,0.288174,186.535688,186.247514,-52.723193
original_160,160,4,003036.SZ,泰坦股份,0.9295815109258194,20251201,20260729,170.305163,0.3065168449,0.8562942595,43.891963,146.619801,102.727839,-56.579826
original_160,160,5,000811.SZ,冰轮环境,0.9289333655348692,20251201,20260729,171.349906,0.364686597,0.8845505732,25.733494,136.423069,110.689576,-33.866951
